username,cursornum,primary_id,cursor_id,x,y,rotated_angle,time
ogapy,20,0,18,0,0,0,0
ogapy,20,1,6,0,0,0.7853982,0
ogapy,20,2,5,0,0,1.047198,0
ogapy,20,3,3,0,0,1.308997,0
ogapy,20,4,13,0,0,1.570796,0
ogapy,20,5,19,0,0,1.832596,0
ogapy,20,6,0,0,0,2.094395,0
ogapy,20,7,16,0,0,2.356194,0
ogapy,20,8,1,0,0,2.617994,0
ogapy,20,9,12,0,0,2.879793,0
ogapy,20,10,11,0,0,3.141593,0
ogapy,20,11,9,0,0,3.403392,0
ogapy,20,12,7,0,0,3.665191,0
ogapy,20,13,4,0,0,3.926991,0
ogapy,20,14,8,0,0,4.18879,0
ogapy,20,15,15,0,0,4.45059,0
ogapy,20,16,17,0,0,4.712389,0
ogapy,20,17,10,0,0,4.974188,0
ogapy,20,18,14,0,0,5.235988,0
ogapy,20,19,2,0,0,5.497787,0
ogapy,20,0,18,263.3639,236.6697,0,0
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0
ogapy,20,2,5,151.1393,-37.66602,1.047198,0
ogapy,20,3,3,483.907,197.0037,1.308997,0
ogapy,20,4,13,369.6883,-52.60956,1.570796,0
ogapy,20,5,19,-165.4258,373.3713,1.832596,0
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0
ogapy,20,8,1,-276.6888,269.7816,2.617994,0
ogapy,20,9,12,248.2467,247.936,2.879793,0
ogapy,20,10,11,-180.4885,354.7876,3.141593,0
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0
ogapy,20,12,7,126.5018,-292.9953,3.665191,0
ogapy,20,13,4,526.7391,-70.97517,3.926991,0
ogapy,20,14,8,350.248,333.3589,4.18879,0
ogapy,20,15,15,15.60242,-402.9075,4.45059,0
ogapy,20,16,17,-163.8944,98.51756,4.712389,0
ogapy,20,17,10,172.8932,466.4567,4.974188,0
ogapy,20,18,14,-135.6165,82.21161,5.235988,0
ogapy,20,19,2,255.7612,-373.4578,5.497787,0
ogapy,20,0,18,263.3639,236.6697,0,0.02000427
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.02000427
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.02000427
ogapy,20,3,3,483.907,197.0037,1.308997,0.02000427
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.02000427
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.02000427
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.02000427
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.02000427
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.02000427
ogapy,20,9,12,248.2467,247.936,2.879793,0.02000427
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.02000427
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.02000427
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.02000427
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.02000427
ogapy,20,14,8,350.248,333.3589,4.18879,0.02000427
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.02000427
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.02000427
ogapy,20,17,10,172.8932,466.4567,4.974188,0.02000427
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.02000427
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.02000427
ogapy,20,0,18,263.3639,236.6697,0,0.02403259
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.02403259
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.02403259
ogapy,20,3,3,483.907,197.0037,1.308997,0.02403259
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.02403259
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.02403259
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.02403259
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.02403259
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.02403259
ogapy,20,9,12,248.2467,247.936,2.879793,0.02403259
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.02403259
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.02403259
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.02403259
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.02403259
ogapy,20,14,8,350.248,333.3589,4.18879,0.02403259
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.02403259
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.02403259
ogapy,20,17,10,172.8932,466.4567,4.974188,0.02403259
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.02403259
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.02403259
ogapy,20,0,18,263.3639,236.6697,0,0.03611755
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.03611755
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.03611755
ogapy,20,3,3,483.907,197.0037,1.308997,0.03611755
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.03611755
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.03611755
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.03611755
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.03611755
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.03611755
ogapy,20,9,12,248.2467,247.936,2.879793,0.03611755
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.03611755
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.03611755
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.03611755
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.03611755
ogapy,20,14,8,350.248,333.3589,4.18879,0.03611755
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.03611755
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.03611755
ogapy,20,17,10,172.8932,466.4567,4.974188,0.03611755
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.03611755
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.03611755
ogapy,20,0,18,263.3639,236.6697,0,0.05178833
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.05178833
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.05178833
ogapy,20,3,3,483.907,197.0037,1.308997,0.05178833
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.05178833
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.05178833
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.05178833
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.05178833
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.05178833
ogapy,20,9,12,248.2467,247.936,2.879793,0.05178833
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.05178833
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.05178833
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.05178833
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.05178833
ogapy,20,14,8,350.248,333.3589,4.18879,0.05178833
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.05178833
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.05178833
ogapy,20,17,10,172.8932,466.4567,4.974188,0.05178833
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.05178833
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.05178833
ogapy,20,0,18,263.3639,236.6697,0,0.08045959
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.08045959
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.08045959
ogapy,20,3,3,483.907,197.0037,1.308997,0.08045959
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.08045959
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.08045959
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.08045959
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.08045959
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.08045959
ogapy,20,9,12,248.2467,247.936,2.879793,0.08045959
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.08045959
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.08045959
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.08045959
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.08045959
ogapy,20,14,8,350.248,333.3589,4.18879,0.08045959
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.08045959
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.08045959
ogapy,20,17,10,172.8932,466.4567,4.974188,0.08045959
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.08045959
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.08045959
ogapy,20,0,18,263.3639,236.6697,0,0.09611511
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.09611511
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.09611511
ogapy,20,3,3,483.907,197.0037,1.308997,0.09611511
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.09611511
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.09611511
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.09611511
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.09611511
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.09611511
ogapy,20,9,12,248.2467,247.936,2.879793,0.09611511
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.09611511
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.09611511
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.09611511
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.09611511
ogapy,20,14,8,350.248,333.3589,4.18879,0.09611511
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.09611511
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.09611511
ogapy,20,17,10,172.8932,466.4567,4.974188,0.09611511
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.09611511
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.09611511
ogapy,20,0,18,263.3639,236.6697,0,0.1078644
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1078644
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1078644
ogapy,20,3,3,483.907,197.0037,1.308997,0.1078644
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1078644
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1078644
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1078644
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1078644
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1078644
ogapy,20,9,12,248.2467,247.936,2.879793,0.1078644
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1078644
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1078644
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1078644
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1078644
ogapy,20,14,8,350.248,333.3589,4.18879,0.1078644
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.1078644
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.1078644
ogapy,20,17,10,172.8932,466.4567,4.974188,0.1078644
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.1078644
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.1078644
ogapy,20,0,18,263.3639,236.6697,0,0.1242371
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1242371
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1242371
ogapy,20,3,3,483.907,197.0037,1.308997,0.1242371
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1242371
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1242371
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1242371
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1242371
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1242371
ogapy,20,9,12,248.2467,247.936,2.879793,0.1242371
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1242371
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1242371
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1242371
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1242371
ogapy,20,14,8,350.248,333.3589,4.18879,0.1242371
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.1242371
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.1242371
ogapy,20,17,10,172.8932,466.4567,4.974188,0.1242371
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.1242371
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.1242371
ogapy,20,0,18,263.3639,236.6697,0,0.1404724
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1404724
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1404724
ogapy,20,3,3,483.907,197.0037,1.308997,0.1404724
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1404724
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1404724
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1404724
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1404724
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1404724
ogapy,20,9,12,248.2467,247.936,2.879793,0.1404724
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1404724
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1404724
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1404724
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1404724
ogapy,20,14,8,350.248,333.3589,4.18879,0.1404724
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.1404724
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.1404724
ogapy,20,17,10,172.8932,466.4567,4.974188,0.1404724
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.1404724
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.1404724
ogapy,20,0,18,263.3639,236.6697,0,0.1518555
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1518555
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1518555
ogapy,20,3,3,483.907,197.0037,1.308997,0.1518555
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1518555
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1518555
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1518555
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1518555
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1518555
ogapy,20,9,12,248.2467,247.936,2.879793,0.1518555
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1518555
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1518555
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1518555
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1518555
ogapy,20,14,8,350.248,333.3589,4.18879,0.1518555
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.1518555
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.1518555
ogapy,20,17,10,172.8932,466.4567,4.974188,0.1518555
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.1518555
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.1518555
ogapy,20,0,18,263.3639,236.6697,0,0.1682129
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1682129
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1682129
ogapy,20,3,3,483.907,197.0037,1.308997,0.1682129
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1682129
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1682129
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1682129
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1682129
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1682129
ogapy,20,9,12,248.2467,247.936,2.879793,0.1682129
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1682129
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1682129
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1682129
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1682129
ogapy,20,14,8,350.248,333.3589,4.18879,0.1682129
ogapy,20,15,15,15.60242,-402.9075,4.45059,0.1682129
ogapy,20,16,17,-163.8944,98.51756,4.712389,0.1682129
ogapy,20,17,10,172.8932,466.4567,4.974188,0.1682129
ogapy,20,18,14,-135.6165,82.21161,5.235988,0.1682129
ogapy,20,19,2,255.7612,-373.4578,5.497787,0.1682129
ogapy,20,0,18,263.3639,236.6697,0,0.1800842
ogapy,20,1,6,386.1717,-84.33104,0.7853982,0.1800842
ogapy,20,2,5,151.1393,-37.66602,1.047198,0.1800842
ogapy,20,3,3,483.907,197.0037,1.308997,0.1800842
ogapy,20,4,13,369.6883,-52.60956,1.570796,0.1800842
ogapy,20,5,19,-165.4258,373.3713,1.832596,0.1800842
ogapy,20,6,0,-324.3428,-365.1561,2.094395,0.1800842
ogapy,20,7,16,-227.8012,-136.3502,2.356194,0.1800842
ogapy,20,8,1,-276.6888,269.7816,2.617994,0.1800842
ogapy,20,9,12,248.2467,247.936,2.879793,0.1800842
ogapy,20,10,11,-180.4885,354.7876,3.141593,0.1800842
ogapy,20,11,9,-434.1263,-81.37849,3.403392,0.1800842
ogapy,20,12,7,126.5018,-292.9953,3.665191,0.1800842
ogapy,20,13,4,526.7391,-70.97517,3.926991,0.1800842
